date,meantemp,humidity,wind_speed,meanpressure
2009-01-01,27.483570765056164,95,1.0384641055754362,1024.2648187510522
2009-01-02,24.308678494144075,80,0.8293906901476307,1017.2866302813671
2009-01-03,28.23844269050346,39,4.2231503479671355,1032.2988539868345
2009-01-04,32.61514928204013,43,7.123055075310814,1000.2298513718557
2009-01-05,23.829233126383322,80,2.3376357580865843,1003.3614228224018
2009-01-06,23.8293152152541,68,6.594292571934391,1033.316222846584
2009-01-07,32.896064077536955,57,2.968367310432845,1007.6673490651365
2009-01-08,28.837173645764544,32,8.917818033728405,1008.3019664192414
2009-01-09,22.65262807032524,99,9.009054470532856,1006.2427641450015
2009-01-10,27.712800217929825,56,3.3242284406726017,1026.4844595653371
2009-01-11,22.682911535937688,31,2.684940662650785,1002.4654238677488
2009-01-12,22.671351232148716,67,4.4073877346291965,1015.2245041227766
2009-01-13,26.20981135783017,32,2.7850500592114127,1012.3437817821946
2009-01-14,15.43359877671101,45,6.887646511271185,1025.3651558350443
2009-01-15,16.375410837434835,69,8.347614503208712,1009.3631733766836
2009-01-16,22.188562353795135,31,6.894375243656562,1019.1527257911328
2009-01-17,19.93584439832788,70,8.331329248868819,1003.2878382662273
2009-01-18,26.571236662976368,41,4.271425540971004,1037.739410386772
2009-01-19,20.459879622393945,64,1.9850112217341782,1012.6040767534629
2009-01-20,17.938481493323543,94,7.510534000277126,1015.0876348488537
2009-01-21,32.32824384460777,84,3.924507798844762,1031.5475435885055
2009-01-22,23.871118497567323,74,6.877072839676758,1009.1332722569479
2009-01-23,25.33764102343962,91,3.071117448826774,1031.6738234293862
2009-01-24,17.87625906893272,78,1.2716815306633904,1010.8852882586204
2009-01-25,22.278086377374088,54,9.929527057133752,1021.7169818382126
2009-01-26,25.55461294854933,52,1.9839143253406932,1009.2731835984071
2009-01-27,19.245032112888488,53,9.88999944265307,1001.4396355485527
2009-01-28,26.87849009172836,67,9.784159359381249,1019.1459435054062
2009-01-29,21.996806550405974,57,8.041271987126375,1021.3990340098353
2009-01-30,23.541531251033618,50,6.764518139778977,1001.8411425767376
2009-01-31,21.991466938853016,83,5.989166977385304,1011.9294168109129
2009-02-01,34.26139092254469,47,8.72796468108943,1027.0075896153692
2009-02-02,24.93251387631033,65,3.2496754553851352,1021.001189507966
2009-02-03,19.711445355220498,74,4.942971518606332,1011.0478499821595
2009-02-04,29.112724560515943,82,6.384204708981768,1009.0247429836554
2009-02-05,18.895781750144888,59,4.406309520760166,1034.4824432513478
2009-02-06,26.044317975023777,89,4.561121313857546,1000.5306793019714
2009-02-07,15.201649380601122,61,3.637704341269802,1014.4080142559139
2009-02-08,18.359069755507846,96,5.860202258503092,1000.3530312630605
2009-02-09,25.984306179345616,96,8.580458016143602,1028.1481464484427
2009-02-10,28.692332899977053,57,2.414519591059972,1014.9287638779166
2009-02-11,25.85684140594985,73,9.377113868157693,1016.7817408476943
2009-02-12,24.421758588058797,70,7.046332710608182,1042.688923096276
2009-02-13,23.494481522053555,92,8.321095520460286,1009.0652732426361
2009-02-14,17.607390048162863,52,5.783811579985111,1032.4857591405853
2009-02-15,21.400778958026457,77,7.905408663528603,1011.0926808559182
2009-02-16,22.696806145201062,61,0.6539037747249385,1012.664875424151
2009-02-17,30.285611131094576,86,8.274614035405584,1041.381752566206
2009-02-18,26.71809144784231,62,0.8813191613109819,1013.3890962273832
2009-02-19,16.18479922318633,53,8.954177075447193,1001.2562859570476
2009-02-20,26.620419846973974,68,9.923646098767112,1017.8191878812631
2009-02-21,23.074588597918417,63,3.2936408906793893,1013.27263174833
2009-02-22,21.615389998470206,85,2.49802628471504,1018.6709584173386
2009-02-23,28.05838144420434,57,7.770951956651387,1013.6640220667223
2009-02-24,30.154997612479754,66,2.9037502387424055,1037.1554461620476
2009-02-25,29.656400595580994,36,8.722842640135934,1020.5673583883594
2009-02-26,20.803912383886807,97,1.4770046254960287,1004.2503537227418
2009-02-27,23.453938120743928,66,1.6965743656039034,1016.2454680202385
2009-02-28,26.65631715701782,85,9.801939773455848,1007.0037017583296
2009-03-01,29.877725635611796,94,6.901469533565044,1012.5228615749704
2009-03-02,22.60412881077355,94,8.545428632075051,1005.8955928943318
2009-03-03,24.071705116680914,76,3.581129084839421,1036.0711852320603
2009-03-04,19.46832512996986,49,6.926595620445742,1008.0861538482178
2009-03-05,19.018966879596647,48,6.145297359431673,1021.8756435199414
2009-03-06,29.062629111970992,58,6.229926141167996,1011.7652057812337
2009-03-07,31.781200142854114,89,6.984058365608355,1003.415868274272
2009-03-08,24.63994939209833,47,5.9659121447264365,1016.976493028995
2009-03-09,30.01766448946012,64,4.576092508375327,1019.0069183708571
2009-03-10,26.80818012523817,72,3.1212655966151948,1020.5862653275451
2009-03-11,21.77440122697438,40,7.801522643675419,988.7778084545906
2009-03-12,26.80697802754207,78,2.6495880850302687,1002.651542863309
2009-03-13,32.690182832329846,67,7.077365908466935,1024.575547190219
2009-03-14,24.820869804450243,93,2.716661815168603,1005.7639303739121
2009-03-15,32.82321827907003,98,6.440636614567312,1017.0294405031011
2009-03-16,11.901274479551278,37,7.597243537725775,1002.4197530477121
2009-03-17,29.10951252187612,63,2.5777819446121226,1022.3160110215844
2009-03-18,25.435235341190857,77,1.0694613581824286,1024.3126959599558
2009-03-19,23.504963247670663,85,1.7442505584446537,1022.3190990617237
2009-03-20,25.45880388267751,94,6.256971189074742,1025.325568123536
